num,name
0,つくばエクスプレス
1,りんかい線
2,京急本線
3,京急空港線
4,京成押上線
5,京成本線
6,京成金町線
7,京王井の頭線
8,京王新線
9,京王線
10,北総線
11,埼玉高速鉄道
12,小田急線
13,成田スカイアクセス
14,新交通ゆりかもめ
15,日暮里・舎人ライナー
16,東京メトロ丸ノ内線
17,東京メトロ副都心線
18,東京メトロ千代田線
19,東京メトロ半蔵門線
20,東京メトロ南北線
21,東京メトロ日比谷線
22,東京メトロ有楽町線
23,東京メトロ東西線
24,東京メトロ銀座線
25,東京モノレール
26,東北新幹線
27,東急世田谷線
28,東急多摩川線
29,東急大井町線
30,東急東横線
31,東急池上線
32,東急田園都市線
33,東急目黒線
34,東武亀戸線
35,東武伊勢崎線
36,東武大師線
37,東武東上線
38,東海道新幹線
39,湘南新宿ライン宇須
40,西武バス
41,西武新宿線
42,西武有楽町線
43,西武池袋線
44,西武池袋線　大泉学園駅
45,西武豊島線
46,見沼代親水公園駅
47,都営三田線
48,都営大江戸線
49,都営新宿線
50,都営浅草線
51,都電荒川線
52,ＪＲ中央線
53,ＪＲ京浜東北線
54,ＪＲ京葉線
55,ＪＲ埼京線
56,ＪＲ宇都宮線
57,ＪＲ山手線
58,ＪＲ常磐線
59,ＪＲ東海道本線
60,ＪＲ横須賀線
61,ＪＲ総武線
62,ＪＲ総武線快速
63,ＪＲ高崎線
